I'm 19.	J'ai 19 ans.
I'm a Windows person.	Je suis branché Windows.
I'm a complete idiot.	Je suis un idiot complet.
I'm a little curious.	Je suis un peu curieux.
I'm a little curious.	Je suis un peu curieuse.
I'm a little thirsty.	J'ai un peu soif.
I'm a natural blonde.	Je suis d'un blond naturel.
I'm a serious person.	Je suis une personne sérieuse.
I'm a very lucky man.	Je suis un homme très chanceux.
I'm afraid of flying.	J'ai peur de voler.
I'm against the bill.	Je suis contre ce projet de loi.
I'm all out of ideas.	Je suis dépourvu d'idées.
I'm all out of ideas.	Je suis dépourvue d'idées.
I'm allergic to cats.	Je suis allergique aux chats.
I'm allergic to corn.	Je suis allergique au maïs.
I'm allergic to dogs.	Je suis allergique aux chiens.
I'm as tall as he is.	Je suis aussi grand que lui.
I'm at your disposal.	Je suis à ta disposition.
I'm at your disposal.	Je suis à votre disposition.
I'm attracted to him.	Je suis attirée par lui.
I'm back in business.	J'ai repris le business.
I'm calling for help.	J'appelle de l'aide.
I'm calling security.	J'appelle la sécurité.
I'm calling the cops.	J'appelle les flics.
I'm checking options.	Je vérifie les possibilités.
I'm closing the door.	Je suis en train de fermer la porte.
I'm depending on you.	Je dépends de toi.
I'm doing the dishes.	Je suis en train de faire la vaisselle.
I'm dying for a beer!	Ma vie pour une bière !
I'm dying to see him.	Je désespère de le voir !
I'm dying to see you.	Je désespère de te voir !
I'm dying to see you.	Je désespère de vous voir !
I'm expecting a call.	J'attends un appel.
I'm expecting a call.	J'attends un coup de fil.
I'm feeling confused.	Je me sens confus.
I'm feeling confused.	Je me sens confuse.
I'm feeling fine now.	Je vais bien maintenant.
I'm feeling fine now.	Maintenant je me sens bien.
I'm feeling stressed.	Je me sens stressé.
I'm feeling stressed.	Je me sens stressée.
I'm fixing something.	Je répare quelque chose.
I'm friends with him.	Je suis ami avec lui.
I'm from out of town.	Je viens de l'extérieur de la ville.
I'm glad I hired you.	Je suis content de t'avoir engagé.
I'm glad I hired you.	Je suis heureux de vous avoir engagés.
I'm glad I hired you.	Je suis content de t'avoir engagée.
I'm glad I'm not Tom.	Je suis content de ne pas être Tom.
I'm glad he liked it.	Je suis heureux qu'il l'ait apprécié.
I'm glad he liked it.	Je suis heureuse qu'il l'ait apprécié.
I'm glad that's over.	Je suis contente que cela soit terminé.
I'm glad that's over.	Je suis content que ce soit fini.
I'm glad to meet you.	Je suis content de vous voir.
I'm glad we did that.	Je me réjouis que nous l'ayons fait.
I'm glad you met Tom.	Je suis heureuse que tu aies rencontré Tom.
I'm glad you're here.	Je suis content que vous soyez là.
I'm glad you're here.	Je suis content que tu sois là.
I'm glad you're here.	Je suis contente que vous soyez là.
I'm glad you're here.	Je suis contente que tu sois là.
I'm going to be late.	Je serai en retard.
I'm going to be sick.	Je vais être malade.
I'm going to college.	Je vais à l'Université.
I'm going to see Tom.	Je vais voir Tom.
I'm good at Japanese.	Je parle bien japonais.
I'm happy to be back.	Je suis heureux d'être de retour.
I'm happy to be back.	Je suis heureuse d'être revenue.
I'm happy to be back.	Je suis heureux d'être rentré.
I'm happy to see you.	Je suis heureux de vous voir.
I'm hardly ever home.	Je ne suis pratiquement jamais chez moi.
I'm having a bad day.	Je passe une mauvaise journée.
I'm here as a friend.	Je suis ici en ami.
I'm here every night.	Je suis ici tous les soirs.
I'm here to help you.	Je suis là pour vous aider.
I'm here to help you.	Je suis là pour t'aider.
I'm here to help you.	Je suis ici pour t'aider.
I'm here to help you.	Je suis ici pour vous aider.
I'm here to save you.	Je suis ici pour te sauver.
I'm here to save you.	Je suis là pour vous sauver.
I'm highly motivated.	Vous m'avez bien motivé.
I'm hitting the road.	Je me casse.
I'm in a hurry today.	Je suis pressé aujourd'hui.
I'm in love with her.	Je suis amoureux d'elle.
I'm in love with you.	Je suis amoureux de toi.
I'm in love with you.	Je suis amoureux de vous.
I'm in love with you.	Je suis amoureuse de toi.
I'm in the same boat.	Je suis dans la même galère.
I'm incredibly tired.	Je suis incroyablement fatigué.
I'm just another man.	Je suis juste un autre homme.
I'm just helping out.	Je ne fais que donner un coup de main.
I'm just watching TV.	Je suis en train de regarder la télévision.
I'm kind of confused.	Je suis un peu confuse.
I'm listening to you.	Je vous écoute.
I'm living in Boston.	J'habite à Boston.
I'm living in a town.	Je vis dans une ville.
I'm living in a town.	Je vis dans une commune.
I'm looking for work.	Je cherche du travail.
I'm making a snowman.	Je fais un bonhomme de neige.
I'm no longer groggy.	Je ne suis plus dans les vapes.
I'm no longer groggy.	Je ne suis plus sonné.
I'm no longer hungry.	Je n'ai plus faim.
I'm no longer sleepy.	Je n'ai plus sommeil.
I'm no match for Tom.	Je ne fais pas le poids face à Tom.
I'm not a cat person.	Les chats ne sont pas mon truc.
I'm not a vegetarian.	Je ne suis pas végétarien.
I'm not a vegetarian.	Je ne suis pas végétarienne.
I'm not an alcoholic.	Je ne suis pas alcoolique.
I'm not as happy now.	Je suis moins heureux maintenant.
I'm not at all tired.	Je ne suis pas fatiguée du tout.
I'm not at all tired.	Je ne suis pas fatigué du tout.
I'm not at all tired.	Je ne suis pas du tout fatigué.
I'm not avoiding you.	Je ne suis pas en train de t'éviter.
I'm not busy anymore.	Je ne suis plus occupé.
I'm not busy anymore.	Je ne suis plus occupée.
I'm not denying that.	Je ne démens pas cela.
I'm not disorganized.	Je ne suis pas désorganisé.
I'm not disorganized.	Je ne suis pas désorganisée.
I'm not exactly sure.	Je n'en suis pas tout à fait sûr.
I'm not exactly sure.	Je n'en suis pas tout à fait sûre.
I'm not feeling well.	Je ne me sens pas bien.
I'm not finished yet.	Je n'en ai pas encore fini.
I'm not finished yet.	Je n'en ai pas encore terminé.
I'm not going to die.	Je ne vais pas mourir.
I'm not going to lie.	Je ne vais pas mentir.
I'm not good at math.	Je ne suis pas bon en mathématiques.
I'm not good at this.	Je ne suis pas bon à ça.
I'm not good at this.	Je ne suis pas bon là-dedans.
I'm not good-looking.	Je ne suis pas beau.
I'm not good-looking.	Je ne suis pas belle.
I'm not here for you.	Je ne suis pas là pour toi.
I'm not here for you.	Je ne suis pas là pour vous.
I'm not ignoring you.	Je ne suis pas en train de t'ignorer.
I'm not ignoring you.	Je ne suis pas en train de vous ignorer.
I'm not making it up.	Je ne l'invente pas.
I'm not marrying you.	Je ne vais pas t'épouser.
I'm not marrying you.	Je ne vais pas vous épouser.
I'm not quitting now.	Je ne vais pas abandonner maintenant.
I'm not ready to die.	Je ne suis pas prêt à mourir.
I'm not ready to die.	Je ne suis pas prête à mourir.
I'm not really angry.	Je ne suis pas vraiment en colère.
I'm not running away.	Je ne m'enfuis pas.
I'm not safe in here.	Je ne suis pas en sécurité, là-dedans.
I'm not sitting here.	Je ne vais pas m'asseoir ici.
I'm not so convinced.	Je n'en suis pas si convaincu.
I'm not so convinced.	Je n'en suis pas si convaincue.
I'm not staying here.	Je ne vais pas rester ici.
I'm not stopping you.	Je ne t'en empêche pas.
I'm not stopping you.	Je ne vous en empêche pas.
I'm not sure I agree.	Je ne suis pas sûr d'être d'accord.
I'm not sure I agree.	Je ne suis pas sûre d'être d'accord.
I'm not sure anymore.	Je n'en suis plus sûr.
I'm not sure anymore.	Je n'en suis plus sûre.
I'm not taking sides.	Je ne vais pas prendre parti.
I'm not that cynical.	Je ne suis pas cynique à ce point-là.
I'm not that worried.	Je ne suis pas si préoccupé.
I'm not that worried.	Je ne suis pas si préoccupée.
I'm not tired at all.	Je ne suis pas fatigué du tout.
I'm not tired at all.	Je ne suis pas du tout fatigué.
I'm not turning back.	Je ne vais pas faire demi-tour.
I'm not very patient.	Je ne suis pas très patient.
I'm not very patient.	Je ne suis pas très patiente.
I'm not wearing this.	Je ne vais pas porter ça.
I'm not your brother.	Je ne suis pas ton frère.
I'm not your brother.	Je ne suis pas votre frère.
I'm not your servant.	Je ne suis pas ton serviteur.
I'm not your servant.	Je ne suis pas ta servante.
I'm not your teacher.	Je ne suis pas ton professeur.
I'm often in trouble.	Je suis souvent en difficulté.
I'm pressing charges.	J'engage des poursuites.
I'm pressing charges.	Je suis en train d'engager des poursuites.
I'm proud of you all.	Je suis fière de vous tous.
I'm proud of you all.	Je suis fière de vous toutes.
I'm proud of you all.	Je suis fier de vous tous.
I'm proud of you all.	Je suis fier de vous toutes.
I'm ready if you are.	Je suis prêt si tu l'es.
I'm ready if you are.	Je suis prête si tu l'es.
I'm ready if you are.	Je suis prêt si vous l'êtes.
I'm ready if you are.	Je suis prête si vous l'êtes.
I'm really busy, Tom.	Je suis très occupée, Tom.
I'm really busy, Tom.	Je suis très occupé, Tom.
I'm right behind Tom.	Je suis juste derrière Tom.
I'm right behind him.	Je suis juste derrière lui.
I'm right behind him.	Je me trouve juste derrière lui.
I'm right behind you.	Je suis juste derrière toi.
I'm right behind you.	Je suis juste derrière vous.
I'm right behind you.	Je me trouve juste derrière toi.
I'm right behind you.	Je me trouve juste derrière vous.
I'm right beside you.	Je suis juste à ton côté.
I'm shorter than him.	Je suis plus petit que lui.
I'm shorter than you.	Je suis plus petit que toi.
I'm shorter than you.	Je suis plus petite que vous.
I'm shorter than you.	Je suis plus petit que vous.
I'm sick of fighting.	Je n'en peux plus de me battre.
I'm sick of fighting.	Je n'en peux plus de combattre.
I'm sick of meetings.	J'en ai ras-le-bol des réunions.
I'm sick of this war.	J'en ai marre de cette guerre.
I'm smarter than you.	Je suis plus intelligent que toi.
I'm smarter than you.	Je suis plus intelligente que toi.
I'm smarter than you.	Je suis plus intelligent que vous.
I'm smarter than you.	Je suis plus intelligente que vous.
I'm smarter than you.	Je suis plus élégant que toi.
I'm smarter than you.	Je suis plus élégante que toi.
I'm smarter than you.	Je suis plus élégant que vous.
I'm smarter than you.	Je suis plus élégante que vous.
I'm smarter than you.	Je suis plus dégourdi que toi.
I'm smarter than you.	Je suis plus dégourdie que toi.
I'm smarter than you.	Je suis plus dégourdi que vous.
I'm smarter than you.	Je suis plus dégourdie que vous.
I'm smarter than you.	Je suis plus vif que toi.
I'm smarter than you.	Je suis plus vif que vous.
I'm smarter than you.	Je suis plus vive que toi.
I'm smarter than you.	Je suis plus vive que vous.
I'm smarter than you.	Je suis plus astucieux que vous.
I'm smarter than you.	Je suis plus astucieuse que vous.
I'm smarter than you.	Je suis plus astucieux que toi.
I'm smarter than you.	Je suis plus astucieuse que toi.
I'm sorry I hurt Tom.	Je suis désolé d'avoir blessé Tom.
I'm sorry I hurt you.	Je suis désolé de t'avoir blessé.
I'm sorry I hurt you.	Je suis désolée de t'avoir blessé.
I'm sorry I hurt you.	Je suis désolée de t'avoir blessée.
I'm sorry I hurt you.	Je suis désolé de t'avoir blessée.
I'm sorry I hurt you.	Je suis désolé de vous avoir blessée.
I'm sorry I hurt you.	Je suis désolé de vous avoir blessé.
I'm sorry I hurt you.	Je suis désolée de vous avoir blessé.
I'm sorry I hurt you.	Je suis désolée de vous avoir blessée.
I'm sorry I hurt you.	Je suis désolé de vous avoir blessés.
I'm sorry I hurt you.	Je suis désolée de vous avoir blessés.
I'm sorry I hurt you.	Je suis désolée de vous avoir blessées.
I'm sorry I hurt you.	Je suis désolé de vous avoir blessées.
I'm sorry I shot you.	Je suis désolé de t'avoir tiré dessus.
I'm sorry I shot you.	Je suis désolée de vous avoir tiré dessus.
I'm sorry about this.	J'en suis désolé.
I'm sorry about this.	J'en suis désolée.
I'm sorry to hear it.	Je suis désolé d'entendre ça.
I'm staying with you.	Je reste avec toi.
I'm still mad at her.	Je suis toujours furieux après elle.
I'm studying English.	J'étudie l'anglais.
I'm sure Tom can win.	Je suis sûr que Tom peut gagner.
I'm sure Tom can win.	Je suis sûre que Tom peut gagner.
I'm sure they'll win.	Je suis sûr qu'ils vont gagner.
I'm sure they'll win.	Je suis sûr qu'elles vont gagner.
I'm terrible at math.	Je suis épouvantable en math.
I'm tired of arguing.	J'en ai assez de me disputer.
I'm tired of dancing.	Je suis fatigué de danser.
I'm tired of dancing.	Je suis fatiguée de danser.
I'm tired of waiting.	J'en ai assez d'attendre.
I'm tired of writing.	Je suis fatiguée d'écrire.
I'm too old for this.	Je suis trop vieux pour ça.
I'm too old for this.	Je suis trop vieille pour ça.
I'm too sick to work.	Je suis trop malade pour travailler.
I'm totally confused.	Je suis complètement embrouillé.
I'm totally confused.	Je suis complètement embrouillée.
I'm unnecessary here.	Je ne suis pas utile ici.
I'm very comfortable.	Je suis très à l'aise.
I'm very lonely here.	Je suis très seul ici.
I'm watching a movie.	Je regarde un film.
I'm working too much.	Je travaille trop.
I'm worried about it.	Cela m'inquiète.
I'm writing a letter.	J'écris une lettre.
I'm your best friend.	Je suis ton meilleur ami.
I'm your best friend.	Je suis votre meilleur ami.
I'm your biggest fan.	Je suis votre plus grand fan.
I'm your biggest fan.	Je suis ton plus grand fan.
She is a blonde girl.	C'est une fille blonde.
She is a good dancer.	C'est une bonne danseuse.
She is a good writer.	Elle est bon écrivain.
She is a pretty girl.	C'est une fille mignonne.
She is a quiet woman.	C'est une femme tranquille.
She is a real beauty.	Elle est une vrai beauté.
She is a real beauty.	C'est une vraie beauté.
She is able to skate.	Elle est capable de patiner.
She is angry with me.	Elle est en colère après moi.
She is bad at sports.	Elle n'est pas bonne en sport.
She is first in line.	Elle est au premier rang.
She is herself again.	Elle est à nouveau elle-même.
She is hostile to me.	Elle m'est hostile.
She is in a bad mood.	Elle est de mauvaise humeur.
She is living abroad.	Elle vit actuellement à l'étranger.
She is making dinner.	Elle prépare le souper.
She is making dinner.	Elle prépare le dîner.
She is making dinner.	Elle prépare le déjeuner.
She is my dream girl.	C'est la fille de mes rêves.
She is my girlfriend.	C'est ma copine.
She is never on time.	Elle n'est jamais à l'heure.
She is out of danger.	Elle est hors de danger.
She is skipping rope.	Elle saute à la corde.
She is traveling now.	Elle est en déplacement en ce moment.
She is wearing a hat.	Elle porte un chapeau.
She isn't lonely now.	Elle n'est plus seule maintenant.
She sang pretty well.	Elle chantait assez bien.
She seems to be sick.	Elle a l'air d'être malade.
She sells vegetables.	Elle vend des légumes.
She sent me a letter.	Elle m'a envoyé une lettre.
She served me coffee.	Elle m'a servi un café.
She slapped his face.	Elle le gifla.
She spoke impolitely.	Elle parla impoliment.
She spoke impolitely.	Elle a parlé impoliment.
She spoke up for him.	Elle a parlé en sa faveur.
She stole my clothes!	Elle m'a volé mes vêtements !
She's a belly dancer.	Elle est danseuse du ventre.
She's a quiet person.	Elle est d'un naturel calme.
She's an honest girl.	C'est une fille honnête.
She's as busy as Tom.	Elle est aussi occupée que Tom.
She's eating for two.	Elle mange comme deux.
She's gone on a trip.	Elle est partie en voyage.
She's good at tennis.	Elle est bonne en tennis.
She's got more books.	Elle a plus de livres.
She's not a bad girl.	Ce n'est pas une mauvaise fille.
She's older than Tom.	Elle est plus âgée que Tom.
She's older than him.	Elle est plus vieille que lui.
She's scared of dogs.	Elle a peur des chiens.
She's very beautiful.	Elle est très belle.
She's very emotional.	Elle est très émotive.
She’s a doctor now.	Elle est désormais médecin.
They are approaching.	Ils approchent.
They are approaching.	Elles approchent.
They are five in all.	Ils sont cinq en tout.
They are five in all.	Elles sont cinq en tout.
They are good people.	Ce sont de bonnes gens.
They are not sisters.	Elles ne sont pas sœurs.
They are running now.	Ils courent maintenant.
They are vegetarians.	Ils sont végétariens.
They are vegetarians.	Elles sont végétariennes.
They're able to sing.	Ils peuvent chanter.
They're able to sing.	Ils sont capables de chanter.
They're afraid of me.	Elles ont peur de moi.
They're afraid of me.	Ils ont peur de moi.
They're afraid of us.	Elles ont peur de nous.
They're all in there.	Ils sont tous là-dedans.
They're all in there.	Elles sont toutes là-dedans.
They're all the same.	Ils sont tous les mêmes.
They're all the same.	Elles sont toutes les mêmes.
They're all tourists.	Ce sont tous des touristes.
They're all tourists.	Ce sont toutes des touristes.
They're going to try.	Ils vont essayer.
They're going to try.	Elles vont essayer.
They're going to try.	Ils vont le tenter.
They're going to try.	Elles vont le tenter.
They're hard to find.	Ils sont durs à trouver.
They're hard to find.	Elles sont dures à trouver.
They're just for you.	Ils sont juste pour toi.
They're just for you.	Elles sont juste pour toi.
They're just for you.	Ils sont juste pour vous.
They're just for you.	Elles sont juste pour vous.
They're not a threat.	Ils ne constituent pas une menace.
They're not a threat.	Elles ne constituent pas une menace.
They're not all busy.	Ils ne sont pas tous occupés.
They're not all busy.	Elles ne sont pas toutes occupées.
They're not here yet.	Elles ne sont pas encore là.
They're not home yet.	Ils ne sont pas encore chez eux.
They're not home yet.	Elles ne sont pas encore chez elles.
They're not home yet.	Ils ne sont pas encore à la maison.
They're not home yet.	Elles ne sont pas encore à la maison.
They're not my rules.	Ce ne sont pas mes règles.
They're really tight.	Ils sont vraiment intimes.
They're really tight.	Ils sont vraiment serrés.
They're really tight.	Ils sont vraiment radins.
They're sending help.	Ils envoient de l'aide.
We are boiling water.	Nous sommes en train de bouillir de l'eau.
We are eleven in all.	Nous sommes onze, en tout.
We are not Americans.	Nous ne sommes pas des Américains.
We are not Americans.	Nous ne sommes pas des Étasuniens.
We are out of danger.	Nous sommes hors de danger.
We are to eat at six.	Nous mangerons à 6 heures.
We are two of a kind.	Nous sommes du même tonneau.
We're all devastated.	Nous sommes tous anéantis.
We're all devastated.	Nous sommes toutes anéanties.
We're all going home.	Nous allons tous chez nous.
We're all going home.	Nous allons toutes chez nous.
We're all going home.	Nous allons tous à la maison.
We're all going home.	Nous allons toutes à la maison.
We're all vulnerable.	Nous sommes tous vulnérables.
We're always careful.	Nous sommes toujours prudents.
We're always careful.	Nous sommes toujours prudentes.
We're being attacked.	Nous sommes attaqués.
We're being attacked.	Nous sommes attaquées.
We're blood brothers.	Nous sommes frères de sang.
We're both witnesses.	Nous sommes tous deux témoins.
We're both witnesses.	Nous sommes toutes deux témoins.
We're claustrophobic.	Nous sommes claustrophobes.
We're friends, right?	On est potes hein ?
We're getting closer.	Nous nous approchons.
We're getting closer.	Nous nous rapprochons.
We're getting closer.	Nous devenons plus intimes.
We're getting warmer.	Nous nous réchauffons.
We're going in first.	Nous entrons en premier.
We're going shopping.	Nous allons faire des courses.
We're going shopping.	Nous allons faire des emplettes.
We're going to begin.	Nous allons commencer.
We're going to fight.	Nous combattrons.
We're going upstairs.	Nous montons.
We're having a blast.	On s'éclate.
We're having a blast.	Nous subissons une rafale de vent.
We're having a blast.	Nous subissons un coup de tabac.
We're having company.	Nous avons de la visite.
We're in a recession.	Nous sommes en récession.
We're just beginning.	Nous ne faisons que commencer.
We're leaving Boston.	Nous quittons Boston.
We're not barbarians.	Nous ne sommes pas des barbares.
We're not being sued.	On ne nous poursuit pas.
We're not evacuating.	Nous ne sommes pas en train d'évacuer.
We're not going home.	Nous n'allons pas à la maison.
We're not interested.	Nous ne sommes pas intéressés.
We're not interested.	Nous ne sommes pas intéressées.
We're not terrorists.	Nous ne sommes pas des terroristes.
We're not that close.	Nous ne sommes pas si proches.
We're not used to it.	Nous n'y sommes pas habitués.
We're not used to it.	Nous n'y sommes pas habituées.
We're not your enemy.	Nous ne sommes pas tes ennemis.
We're not your enemy.	Nous ne sommes pas vos ennemis.
We're not your enemy.	Nous ne sommes pas tes ennemies.
We're not your enemy.	Nous ne sommes pas vos ennemies.
We're out of bullets.	Nous sommes à court de balles.
We're out of options.	Nous sommes à court de possibilités.
We're perfectly safe.	Nous sommes parfaitement en sécurité.
We're protecting you.	Nous vous protégeons.
We're ready for this.	Nous y sommes prêts.
We're ready for this.	Nous y sommes prêtes.
We're really married.	Nous sommes vraiment mariés.
We're really married.	Nous sommes vraiment mariées.
We're still involved.	Nous sommes toujours impliqués.
We're still involved.	Nous sommes toujours impliquées.
We're still involved.	Nous sommes toujours engagés.
We're still involved.	Nous sommes toujours engagées.
We're still not sure.	Nous ne sommes pas encore sûrs.
We're still not sure.	Nous ne sommes pas encore sûres.
We're still not sure.	Nous ne sommes toujours pas sûrs.
We're still not sure.	Nous ne sommes toujours pas sûres.
We're still underage.	Nous sommes encore mineurs.
We're still underage.	Nous sommes encore mineures.
We're too vulnerable.	Nous sommes trop vulnérables.
We're very different.	Nous sommes très différents.
We're very different.	Nous sommes très différentes.
We're your last hope.	Nous sommes ton dernier espoir.
We're your last hope.	Nous sommes votre dernier espoir.
You are a bad person.	Tu es un être mauvais.
You are a bad person.	Vous êtes un être mauvais.
You are a workaholic.	Tu es un maniaque du travail.
You are new students.	Vous êtes de nouveaux étudiants.
You are not Japanese.	Tu n'es pas japonais.
You are not Japanese.	Tu n'es pas japonaise.
You are not Japanese.	Vous n'êtes pas japonais.
You are not Japanese.	Vous n'êtes pas japonaise.
You are not Japanese.	Vous n'êtes pas japonaises.
You are not a coward.	Tu n'es pas un lâche.
You are not a coward.	Vous n'êtes pas un lâche.
You are not a doctor.	Vous n’êtes pas un médecin.
You are now an adult.	Tu es désormais un adulte.
You are under arrest.	Vous êtes en état d'arrestation.
You are welcome here.	Tu es le bienvenue.
You are welcome here.	Vous êtes bienvenue ici.
You are what you eat.	Vous êtes ce que vous mangez.
You aren't my mother.	Tu n'es pas ma mère.
You aren't my mother.	Vous n'êtes pas ma mère.
You're German, right?	Tu es allemand, n'est-ce pas ?
You're a filthy liar!	Tu es un sale menteur !
You're a filthy liar!	Tu es une sale menteuse !
You're a filthy liar!	Vous êtes un sale menteur !
You're a filthy liar!	Vous êtes une sale menteuse !
You're a good mother.	Tu es une bonne mère.
You're a good mother.	Vous êtes une bonne mère.
You're a little late.	Tu es un peu en retard.
You're a little liar.	Tu es un petit menteur.
You're a little liar.	Tu es une petite menteuse.
You're a little liar.	Vous êtes un petit menteur.
You're a mean person.	Vous êtes quelqu'un de méchant.
You're a total wreck.	Tu es une vraie loque.
You're a total wreck.	Vous êtes une vraie loque.
You're a true friend.	Tu es un véritable ami.
You're a true friend.	Tu es une véritable amie.
You're being watched.	On te regarde.
You're conscientious.	Tu es consciencieux.
You're conscientious.	Vous êtes consciencieux.
You're conscientious.	Tu es consciencieuse.
You're conscientious.	Vous êtes consciencieuse.
You're conscientious.	Vous êtes consciencieuses.
You're double-parked.	Vous êtes garé en double file.
You're double-parked.	Vous êtes garés en double file.
You're double-parked.	Vous êtes garées en double file.
You're double-parked.	Vous êtes garée en double file.
You're double-parked.	Tu es garé en double file.
You're double-parked.	Tu es garée en double file.
You're going to lose.	Tu vas perdre.
You're going to lose.	Vous allez perdre.
You're going too far.	Tu vas trop loin.
You're in charge now.	Tu es aux commandes maintenant.
You're in charge now.	Vous êtes aux commandes maintenant.
You're just a coward.	Tu n'es qu'un lâche.
You're never at home.	Tu n'es jamais chez toi.
You're never at home.	Vous n'êtes jamais chez vous.
You're no fun at all.	T'es vraiment pas marrant.
You're no fun at all.	Vous n'êtes vraiment pas marrant.
You're not a suspect.	Tu ne comptes pas au nombre des suspects.
You're not a suspect.	Vous ne comptez pas au nombre des suspects.
You're not in charge.	Ce n'est pas toi qui dirige.
You're not in charge.	Ce n'est pas vous qui dirigez.
You're not listening!	Vous n'écoutez pas !
You're not listening!	Tu n'écoutes pas !
You're not my friend.	Vous n'êtes pas mon ami.
You're not my friend.	Vous n'êtes pas mon amie.
You're not my friend.	Tu n'es pas mon ami.
You're not my friend.	Tu n'es pas mon amie.
You're not my mother.	Tu n'es pas ma mère.
You're not my mother.	Vous n'êtes pas ma mère.
You're not one of us.	Tu n'es pas des nôtres.
You're not one of us.	Vous n'êtes pas des nôtres.
You're not safe here.	Vous n'y êtes pas en sécurité.
You're not safe here.	Tu n'y es pas en sécurité.
You're not safe here.	Tu n'es pas en sécurité, ici.
You're not safe here.	Vous n'êtes pas en sécurité, ici.
You're not the first.	Tu n'es pas le premier.
You're not the first.	Tu n'es pas la première.
You're not the first.	Vous n'êtes pas le premier.
You're not the first.	Vous n'êtes pas la première.
You're not very good.	Vous n'êtes pas très bon.
You're not very good.	Vous n'êtes pas très bons.
You're not very good.	Vous n'êtes pas très bonne.
You're not very good.	Vous n'êtes pas très bonnes.
You're not very tidy.	Vous n'êtes pas très ordonné.
You're not very tidy.	Vous n'êtes pas très ordonnée.
You're not very tidy.	Vous n'êtes pas très ordonnés.
You're not very tidy.	Vous n'êtes pas très ordonnées.
You're opportunistic.	Tu es un opportuniste.
You're opportunistic.	Tu es une opportuniste.
You're opportunistic.	Vous êtes un opportuniste.
You're opportunistic.	Vous êtes une opportuniste.
You're opportunistic.	Vous êtes des opportunistes.
You're overconfident.	Tu as trop confiance en toi.
You're overemotional.	Tu te laisses trop dominer par tes émotions.
You're overemotional.	Vous vous laissez trop dominer par vos émotions.
You're putting me on.	Tu te fous de moi.
You're putting me on.	Vous vous foutez de moi.
You're really gifted.	Tu es vraiment doué.
You're really gifted.	Vous êtes vraiment doué.
You're right on time.	Tu es pile à l'heure.
You're right on time.	Vous êtes juste à l'heure.
You're still growing.	Tu es encore en train de grandir.
You're still growing.	Vous êtes encore en train de grandir.
You're such an idiot!	Tu es un de ces idiots !
You're such an idiot!	Quel imbécile vous êtes !
You're such an idiot!	Quel imbécile tu es !
You're such an idiot!	Quel idiot tu es !
You're such an idiot!	Quelle idiote tu es !
You're such an idiot!	Quel idiot vous êtes !
You're such an idiot!	Quelle idiote vous êtes !
You're such an idiot!	Tu es tellement idiot !
You're such an idiot!	Tu es tellement idiote !
You're temperamental.	Tu es lunatique.
You're temperamental.	Vous êtes lunatique.
You're temperamental.	Vous êtes lunatiques.
You're temperamental.	Vous êtes fantasque.
You're temperamental.	Vous êtes fantasques.
You're temperamental.	Tu es fantasque.
You're the scapegoat.	Vous êtes le bouc émissaire.
You're the scapegoat.	Tu es le bouc émissaire.
You're totally right.	Tu as parfaitement raison.
You're totally right.	Vous avez parfaitement raison.
You're unforgettable.	Tu es inoubliable.
You're unforgettable.	Vous êtes inoubliable.
You're unforgettable.	Vous êtes inoubliables.
You're very flexible.	Tu es très flexible.
You're very flexible.	Vous êtes très flexible.
You're very flexible.	Vous êtes très flexibles.
You're very generous.	Tu es très généreux.
You're very generous.	Tu es très généreuse.
You're very generous.	Tu es fort généreux.
You're very generous.	Tu es fort généreuse.
You're very generous.	Vous êtes fort généreux.
You're very generous.	Vous êtes fort généreuse.
You're very generous.	Vous êtes fort généreuses.
You're very generous.	Vous êtes très généreuse.
You're very generous.	Vous êtes très généreux.
You're very generous.	Vous êtes très généreuses.
You're very talented.	Vous êtes très talentueux.
You're very talented.	Vous êtes très talentueuse.
You're very talented.	Vous êtes très talentueuses.
You're very talented.	Vous êtes fort talentueuse.
You're very talented.	Vous êtes fort talentueuses.
You're very talented.	Vous êtes fort talentueux.
You're very talented.	Tu es fort talentueux.
You're very talented.	Tu es très talentueux.
You're very talented.	Tu es fort talentueuse.
You're very talented.	Tu es très talentueuse.
You're very talented.	Tu es plein de talent.
You're very talented.	Tu es pleine de talent.
You're very talented.	Vous êtes plein de talent.
You're very talented.	Vous êtes pleine de talent.
You're wasting water.	Vous gaspillez de l'eau.
You're wasting water.	Tu gaspilles de l'eau.
He is a big prankster.	C'est un grand farceur.
He is a famous artist.	C'est un artiste célèbre.
He is a heroin addict.	Il est héroïno-dépendant.
He is a heroin addict.	Il est dépendant à l'héroïne.
He is a living fossil!	C'est un fossile vivant !
He is a man of reason.	C'est un homme de raison.
He is a man of vision.	Il est un homme de vision.
He is a man of wealth.	C'est un homme riche.
He is a man of wisdom.	C'est un homme sage.
He is a sharp-shooter.	C'est un tireur d'élite.
He is a soccer player.	Il est footballeur.
He is a spoiled child.	C'est un enfant gâté.
He is a spoiled child.	C'est un enfant pourri gâté.
He is a tennis player.	C'est un joueur de tennis.
He is above suspicion.	Il est au-dessus de tout soupçon.
He is afraid of death.	Il a peur de la mort.
He is afraid of death.	Il craint la mort.
He is always laughing.	Il est toujours en train de rire.
He is always prepared.	Il est toujours prêt.
He is always studying.	Il étudie tout le temps.
He is an army officer.	Il est officier de l'armée.
He is as good as dead.	Il est comme mort.
